sale_id,transaction_id,employee_id,sale_date,quantity,discount
0933780b-06f5-4a75-a18e-42cd7ce202fa,517fecf0-5049-458d-be84-d51eeb55d522,db5f3412-01d3-4651-afb0-fd95091e9630,2025-06-13 14:01:05.291468,6,0.07
bed19f5c-5914-4745-a6cc-497e8a9e55cd,ba484442-91cb-4ad2-b6c0-327c373ff15c,845c8e7f-953c-4c12-9a1d-a1f8159252a4,2025-02-07 17:35:38.376729,4,0.05
1eaa5c40-de45-4105-92d8-0156172b81ee,5c2ef7fa-eb54-438b-8175-1a90c3dc3a9e,c3486d40-b2b0-4f31-9010-14e8648f69e7,2025-03-11 13:36:00.108514,1,0.05
e6ee3af1-9707-4359-a595-72b17a1ba454,b58c9681-6534-4151-acfb-1b6e59efa920,935ed2c8-3a05-4ee3-9c37-7d2b4100d4b8,2025-06-15 02:49:49.067058,4,0.12
76e12900-928b-4ef8-a071-a8aebbb41d2d,0ee5cb1f-7507-4983-9b6b-77cb2e14689f,09d3c84f-de9a-4865-b372-a97b38a3973e,2025-03-05 13:03:36.546116,5,0.12
7dbef6d9-8327-465f-94b1-fe731c0f4700,6eff64b6-74cb-48e6-822f-7dc9c1726616,b909e9f4-a883-411c-acd3-bf88d564ba2f,2025-01-18 10:13:35.188762,5,0.23
57625c46-f538-4862-b0e2-a973753cc4a9,b1aa144c-94b3-4c61-bb39-4496f3fbcebc,22816ec9-9793-42bd-8b1c-fc37e148c6cc,2025-01-31 18:05:48.110686,10,0.19
65e932ea-c0c1-4f43-8f23-61098c2759d3,e2c7824c-2af9-42b6-abdf-efcde5d6720c,22816ec9-9793-42bd-8b1c-fc37e148c6cc,2025-02-24 12:56:45.729674,10,0.15
c94e5361-1132-4bbf-81c0-729857f2fc4d,3ef4f171-12d7-4d1f-99bc-3304b86d47bc,1b4bfdd0-22c6-4f3b-8395-62909e3efa52,2025-08-19 13:21:44.293428,3,0.27
fd838224-3a63-4ff6-969e-06c1a0dbd9eb,906898b6-47c4-4726-aa6b-728e6358556a,601a4c1f-d0a5-4402-82a4-f49b1f903f80,2025-01-17 23:10:42.683877,8,0.09
629b6aca-a640-40a6-981c-a7fa7726a13b,a6f7be56-43f8-43e5-a629-3b0c5f0545d2,229e4cb2-dea4-4247-b1eb-7b84071a5546,2025-01-04 22:59:28.605269,9,0.27
2078aec5-810b-4ed1-85dc-0f5724a48349,e55c423c-c0ba-426c-8ada-5a1e921fe846,7e2c3328-5982-47f0-9809-7e5a57110661,2025-04-25 18:56:22.186435,5,0.04
89f6918d-0c6f-4cc7-98e5-079521a78a8f,c19deef2-1893-46d5-a9a4-83165a72971d,1ba95073-de54-4590-bdbb-eb51a6907b22,2025-08-22 20:22:14.518010,3,0.03
ab32751b-d1ea-4df1-aec2-0b677db86b6b,dc2fc421-a99c-4133-ad98-2fa4d42d8827,a2351b4c-7ae1-41d6-ab64-eb399702fcfe,2025-03-02 17:58:35.583266,7,0.17
ba2b112b-f4e9-4da9-97ea-ccc3b0e8b734,3d25575a-72b3-4ab5-82ac-0efa8eec519c,b40d6103-7595-4cbf-a7cc-7126e5d2bb6e,2025-04-18 17:32:51.471881,5,0.15
4487deee-a954-4f3c-91ad-2adac5625793,03362217-ee12-49b6-9316-b90b74644ed8,78fbe769-0855-4d9f-a89c-9d8b57d69e9d,2025-06-30 10:05:16.272373,6,0.1
d999e5e8-7779-4e1b-b146-8e067bc190fd,2873b6cc-7f1e-443a-9717-eb75a8bfc532,e37646e2-b900-49af-9229-103abaa53858,2025-03-10 20:11:58.081503,7,0.25
b80dc11c-4b88-4059-9093-8f594fc14cee,7835d957-bdbf-4bf9-9ff0-ca55447051c9,d0c263ec-d2f3-4f2a-bc00-41ac4e0c5c1a,2025-04-23 00:26:54.526801,7,0.25
ea5e5b77-cd59-4dc1-983f-1d375c03b3c7,76f20232-3e3c-4782-a597-af509407ce4f,3ae5f9ec-2af2-4d87-a141-eb92e8f00340,2025-07-12 07:47:49.832237,5,0.12
c388ba42-5abe-42db-ac2a-7a1d77ac8456,04d12f1b-d03f-42f5-a6b6-bca53d238d11,60bdf3f1-bbf7-477d-8a75-a986d266a245,2025-05-27 17:08:15.715866,4,0.22
f0a9ae95-be9a-4f21-af25-5cbe7650451c,c6e5b80d-a5d1-493d-8787-5d72e6249ec6,8ad351e2-af13-45b7-b23e-d78980ff5074,2025-04-09 23:42:53.666535,7,0.3
