transaction_id,customer_id,product_id,transaction_date,amount,currency,payment_method
5f5dbee1-6aa9-4fc7-bffd-f8c797ba43c3,89f850f2-0f0c-49a0-bc98-02ba4b69f0e4,7b4016de-b7ca-4944-bcf7-81c6a1c572db,2022-06-09 07:11:47.672212,314.88,SLL,Debit Card
792fb5e9-fe2c-44a1-bcbe-a09d766e60b6,dda8ca9d-0e8e-41ce-97c7-3420feb1c473,9e6d4a8b-4c99-4b5f-a67d-09d1c75ecdf4,2025-08-22 18:59:02.330232,233.0,MXN,Debit Card
3db08c82-502b-4b6e-b3b7-dfb42e245fec,10ced499-81c3-4306-880a-d80d9fd67938,297bd940-d560-4d57-aa40-54eaaba90233,2023-03-01 19:50:06.662171,359.14,SEK,Credit Card
c6b406c1-e9db-4ba3-8b6b-27690f32a200,20f0a93a-d0ad-4e9d-b900-089adbb7df31,b0c7669a-3008-4b7d-9142-f3546b2e3087,2025-06-13 08:30:07.003653,230.33,PAB,Debit Card
ef91fa22-fe2c-4a7d-916f-43abb054d490,443bc10f-181f-47c8-9ef5-de008266dc2c,ee81d961-d3e4-40d8-bee1-0cd6fe3a8fc6,2023-04-25 13:11:16.365321,345.23,VND,PayPal
3b581be0-f5f7-464e-8801-718621959b69,68d3b373-5d0e-4f0b-a016-82bbffed6f02,ad1dd90b-76af-4057-9007-bf81368ead60,2023-02-05 05:02:41.324323,92.79,ILS,Credit Card
35720bef-1155-445d-bb7d-01d67dba6839,7f0beedc-b95d-48d1-b264-8d76e1435cbb,218ec719-fc8e-4692-a967-12a8cdf0aa0e,2022-11-22 23:35:37.818215,431.59,MGA,Bank Transfer
df5da8d9-3788-4123-88b3-bd77b07b16d4,c9f74e64-0d08-4fee-8e41-ceebc10b6fb3,cfd86032-e6c0-4a2f-999d-42c15cd3f43b,2024-12-30 01:22:34.057911,418.03,COP,PayPal
a5ce833e-48bb-4d91-8e51-e9876558e4ad,a0fb688c-3eca-4317-8dfd-82c64fd68915,21590947-defc-4f47-b826-92f57f45805d,2020-09-24 14:59:15.969865,262.11,ETB,PayPal
11fa1feb-4bc8-4912-b24e-44edd5e9e8ca,ee24abec-baff-4c17-8d68-a9fbc8e7c816,d177e9db-21a7-46d3-ac87-b396b126a937,2023-02-12 11:54:39.925812,286.88,XDR,Debit Card
